Region,region_id
Latin America and Caribbean,66349
Central and Eastern Europe,16113
Australia and New Zealand,92273
Western Europe,40098
Middle East and Northern Africa,84018
Eastern Asia,70359
Sub-Saharan Africa,82610
Southeastern Asia,94590
North America,63126
