year,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),country_id,sex_id,age_id,generation_id
2015,10,715044,1.4,"291,519,591,533",6552,46,6108,1758,63509
2015,56,243369,23.01,"49,425,513,611",12351,97,6108,1758,63509
2016,40,246002,16.26,"51,338,524,831",12905,97,6108,1758,63509
2015,0,29924,0.0,"19,676,167,240",24718,75,6108,1758,63509
2016,0,31234,0.0,"20,153,871,681",25098,75,6108,1758,63509
2015,44,471092,9.34,"186,829,940,546",18703,43,6108,1758,63509
2016,25,480884,5.2,"195,305,084,919",19505,43,6108,1758,63509
2015,32,253300,12.63,"301,298,464,861",55972,8,6108,1758,63509
2015,5,241437,2.07,"99,290,381,000",6832,74,6108,1758,63509
2015,9,86804,10.37,"22,566,956,982",18149,98,6108,1758,63509
2015,21,295795,7.1,"232,464,833,066",44862,43,6108,1758,63509
2015,20,166300,12.03,"13,993,546,732",4046,46,6108,1758,63509
2015,635,5338738,11.89,"3,375,611,100,742",43201,65,6108,1758,63509
2015,12,683939,1.75,"195,541,761,243",18927,98,6108,1758,63509
2015,3,167861,1.79,"63,767,597,194",4472,1,6108,1758,63509
2015,123,514721,23.9,"122,879,042,002",13087,99,6108,1758,63509
2016,120,521024,23.03,"125,816,640,421",13448,99,6108,1758,63509
2015,2,11158,17.92,"16,942,247,374",54909,51,6108,1758,63509
2016,0,11268,0.0,"20,304,098,101",64708,51,6108,1758,63509
2015,14,241083,5.81,"299,093,839,690",39793,83,6108,1758,63509
2015,156,4115435,3.79,"1,832,868,490,534",31537,29,6108,1758,63509
2015,1509,9983066,15.12,"4,394,977,752,878",36510,23,6108,1758,63509
2015,42,343577,12.22,"184,388,432,149",11784,19,6108,1758,63509
2015,4,72276,5.53,"6,678,178,340",1285,14,6108,1758,63509
2015,22,134138,16.4,"26,972,863,394",14382,59,6108,1758,63509
2015,38,191358,19.86,"41,508,609,233",15073,44,6108,1758,63509
2016,29,193001,15.03,"42,773,029,835",15742,44,6108,1758,63509
2015,2,23189,8.62,"57,784,495,265",107456,46,6108,1758,63509
2015,0,19379,0.0,"10,574,026,838",25750,40,6108,1758,63509
2015,0,25820,0.0,"11,692,287,066",10125,95,6108,1758,63509
2016,0,26298,0.0,"12,232,463,656",10570,95,6108,1758,63509
2015,11,1915217,0.57,"1,169,622,672,463",10228,89,6108,1758,63509
2015,55,770107,7.14,"757,999,453,314",47206,60,6108,1758,63509
2016,87,781301,11.14,"777,227,541,581",48108,60,6108,1758,63509
2015,0,75925,0.0,"12,611,087,031",2303,47,6108,1758,63509
2015,17,215829,7.88,"386,663,139,403",79187,25,6108,1758,63509
2015,0,67619,0.0,"54,315,722,500",15158,11,6108,1758,63509
2015,77,1790695,4.3,"477,355,617,456",13228,85,6108,1758,63509
2015,0,2996,0.0,"164,641,483,516",69937,48,6108,1758,63509
2016,0,3250,0.0,"152,451,923,077",62484,48,6108,1758,63509
2015,66,991307,6.66,"177,911,101,680",9431,86,6108,1758,63509
